ID,RoomNo,startTime,endTime,Day,slotID,CourseType
0,7A03,8:00:00,8:50:00,Saturday,Sat8.00.7A03,Theory
1,7A03,8:00:00,8:50:00,Sunday,Sun8.00.7A03,Theory
2,7A03,8:00:00,8:50:00,Monday,Mon8.00.7A03,Theory
3,7A03,8:00:00,8:50:00,Tuesday,Tue8.00.7A03,Theory
4,7A03,8:00:00,8:50:00,Wednesday,Wed8.00.7A03,Theory
5,7A03,8:00:00,8:50:00,Thursday,Thu8.00.7A03,Theory
6,7A03,8:50:00,9:40:00,Saturday,Sat8.50.7A03,Theory
7,7A03,8:50:00,9:40:00,Sunday,Sun8.50.7A03,Theory
8,7A03,8:50:00,9:40:00,Monday,Mon8.50.7A03,Theory
9,7A03,8:50:00,9:40:00,Tuesday,Tue8.50.7A03,Theory
10,7A03,8:50:00,9:40:00,Wednesday,Wed8.50.7A03,Theory
11,7A03,8:50:00,9:40:00,Thursday,Thu8.50.7A03,Theory
12,7A03,9:40:00,10:30:00,Saturday,Sat9.40.7A03,Theory
13,7A03,9:40:00,10:30:00,Sunday,Sun9.40.7A03,Theory
14,7A03,9:40:00,10:30:00,Monday,Mon9.40.7A03,Theory
15,7A03,9:40:00,10:30:00,Tuesday,Tue9.40.7A03,Theory
16,7A03,9:40:00,10:30:00,Wednesday,Wed9.40.7A03,Theory
17,7A03,9:40:00,10:30:00,Thursday,Thu9.40.7A03,Theory
18,7A03,10:30:00,11:20:00,Saturday,Sat10.30.7A03,Theory
19,7A03,10:30:00,11:20:00,Sunday,Sun10.30.7A03,Theory
20,7A03,10:30:00,11:20:00,Monday,Mon10.30.7A03,Theory
21,7A03,10:30:00,11:20:00,Tuesday,Tue10.30.7A03,Theory
22,7A03,10:30:00,11:20:00,Wednesday,Wed10.30.7A03,Theory
23,7A03,10:30:00,11:20:00,Thursday,Thu10.30.7A03,Theory
24,7A03,11:20:00,12:10:00,Saturday,Sat11.20.7A03,Theory
25,7A03,11:20:00,12:10:00,Sunday,Sun11.20.7A03,Theory
26,7A03,11:20:00,12:10:00,Monday,Mon11.20.7A03,Theory
27,7A03,11:20:00,12:10:00,Tuesday,Tue11.20.7A03,Theory
28,7A03,11:20:00,12:10:00,Wednesday,Wed11.20.7A03,Theory
29,7A03,11:20:00,12:10:00,Thursday,Thu11.20.7A03,Theory
30,7A03,12:10:00,13:00:00,Saturday,Sat12.10.7A03,Theory
31,7A03,12:10:00,13:00:00,Sunday,Sun12.10.7A03,Theory
32,7A03,12:10:00,13:00:00,Monday,Mon12.10.7A03,Theory
33,7A03,12:10:00,13:00:00,Tuesday,Tue12.10.7A03,Theory
34,7A03,12:10:00,13:00:00,Wednesday,Wed12.10.7A03,Theory
35,7A03,12:10:00,13:00:00,Thursday,Thu12.10.7A03,Theory
36,7A03,13:00:00,13:50:00,Saturday,Sat1.00.7A03,Theory
37,7A03,13:00:00,13:50:00,Sunday,Sun1.00.7A03,Theory
38,7A03,13:00:00,13:50:00,Monday,Mon1.00.7A03,Theory
39,7A03,13:00:00,13:50:00,Tuesday,Tue1.00.7A03,Theory
40,7A03,13:00:00,13:50:00,Wednesday,Wed1.00.7A03,Theory
41,7A03,13:00:00,13:50:00,Thursday,Thu1.00.7A03,Theory
42,7A03,13:50:00,14:40:00,Saturday,Sat1.50.7A03,Theory
43,7A03,13:50:00,14:40:00,Sunday,Sun1.50.7A03,Theory
44,7A03,13:50:00,14:40:00,Monday,Mon1.50.7A03,Theory
45,7A03,13:50:00,14:40:00,Tuesday,Tue1.50.7A03,Theory
46,7A03,13:50:00,14:40:00,Wednesday,Wed1.50.7A03,Theory
47,7A03,13:50:00,14:40:00,Thursday,Thu1.50.7A03,Theory
48,7A03,14:40:00,15:30:00,Saturday,Sat2.40.7A03,Theory
49,7A03,14:40:00,15:30:00,Sunday,Sun2.40.7A03,Theory
50,7A03,14:40:00,15:30:00,Monday,Mon2.40.7A03,Theory
51,7A03,14:40:00,15:30:00,Tuesday,Tue2.40.7A03,Theory
52,7A03,14:40:00,15:30:00,Wednesday,Wed2.40.7A03,Theory
53,7A03,14:40:00,15:30:00,Thursday,Thu2.40.7A03,Theory
54,7A04,8:00:00,8:50:00,Saturday,Sat8.00.7A04,Theory
55,7A04,8:00:00,8:50:00,Sunday,Sun8.00.7A04,Theory
56,7A04,8:00:00,8:50:00,Monday,Mon8.00.7A04,Theory
57,7A04,8:00:00,8:50:00,Tuesday,Tue8.00.7A04,Theory
